Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
939,NAPIER STREET,4/14/2020,1560000,6,2069,1911,109,4026.0
940,E 12TH AVENUE,10/25/2019,1575000,21,2932,1910,109,4270.0
941,SHERBROOKE STREET,3/16/2020,2000000,52,3492,2019,1,4019.7
942,E 53RD AVENUE,6/4/2019,1798000,4,3216,1922,97,9180.0
943,VERNON DRIVE,4/22/2020,1510000,18,1892,2017,3,1843.36
944,W 32ND AVENUE,7/1/2019,2455000,109,2324,2019,1,3045.46
945,W 64TH AVENUE,5/24/2019,2548800,81,3319,1996,23,5504.0
946,YEW STREET,3/3/2020,1800000,25,1758,1926,94,4144.47
947,COLLINGWOOD STREET,10/14/2019,2035000,4,2813,1912,107,3600.0
948,GRAVELEY STREET,9/11/2019,1228000,157,2455,1913,107,3141.0
949,ELGIN STREET,1/29/2020,2285000,9,2493,2019,1,3606.0
950,NANAIMO STREET,11/19/2019,1425000,1,2443,1967,52,4614.87
951,WINDSOR STREET,6/5/2019,1615000,2,1782,1912,107,3559.5
952,E 60TH AVENUE,3/16/2020,1500000,58,2500,1956,64,4885.05
953,E 61ST AVENUE,10/16/2019,1488000,4,1924,1952,67,5075.0
954,WILLIAM STREET,3/10/2020,1726000,6,1777,1946,74,3630.0
955,W 57TH AVENUE,4/20/2020,2950000,40,3370,1957,63,12883.77
956,W 30TH AVENUE,4/24/2020,2193988,12,1749,1935,85,4290.0
957,E 54TH AVENUE,3/18/2020,1288000,46,690,1954,66,4467.0
958,E 26TH AVENUE,4/30/2019,860000,101,1000,1910,109,2027.75
959,JOYCE STREET,3/17/2020,1594000,23,2192,2002,18,4026.0
960,ONTARIO STREET,3/10/2020,1898500,7,2068,1901,119,2475.0
961,HENNEPIN AVENUE,3/16/2020,1244000,1,2127,1980,40,2825.0
962,UNION STREET,7/5/2019,1380000,56,2538,1901,118,3058.0
963,ST. CATHERINES STREET,2/5/2020,1150000,7,1299,1913,107,3300.0
964,W 39TH AVENUE,5/8/2019,2300000,69,3016,1941,78,5320.0
965,E 43RD AVENUE,10/28/2019,1302000,33,2033,1956,63,4028.04
966,E 18TH AVENUE,3/4/2020,2188000,7,2566,2017,3,3379.2
967,E 35TH AVENUE,2/14/2020,1730000,10,1940,1978,42,3214.5
968,HUDSON STREET,1/9/2019,2043000,241,2378,1990,29,3983.1
969,W 14TH AVENUE,6/17/2019,2180000,8,2140,1972,47,4022.7
970,W 18TH AVENUE,9/11/2019,2050000,7,3374,1927,92,4492.95
971,GOTHARD STREET,3/16/2020,1170000,7,1744,1959,61,3630.0
972,E 43RD AVENUE,2/18/2020,1920000,6,2526,1997,23,5374.32
973,OAK STREET,9/5/2019,1950000,82,3724,1928,91,5925.0
974,HAIG STREET,7/2/2019,2200000,70,3206,2019,0,3846.01
975,W 7TH AVENUE,8/21/2019,2300000,4,2224,1990,29,3715.8
976,E 53RD AVENUE,5/17/2019,1299000,31,1989,1989,30,3456.0
977,VIVIAN DRIVE,7/2/2019,2670000,78,4652,2017,2,5415.0
978,W 19TH AVENUE,8/21/2019,2850000,75,2818,2001,18,4026.0
979,W 28TH AVENUE,8/7/2019,2380000,42,3001,1927,92,4297.92
980,W 13TH AVENUE,5/19/2020,2840000,9,5872,1910,110,6250.0
981,E 51ST AVENUE,6/4/2019,1450000,2,2606,1983,36,4397.25
982,E 46TH AVENUE,4/8/2019,1636500,121,2469,1996,23,4026.0
983,416-418 UNION STREET,9/9/2019,1600000,32,2301,1980,39,3150.0
984,NAPIER STREET,9/25/2019,1200000,4,2228,1983,36,3550.8
985,KNIGHT STREET,6/24/2019,1549900,25,2789,2017,2,3676.0
986,GEORGIA STREET,1/16/2020,904000,44,2166,1928,92,3547.5
987,KITCHENER STREET,10/29/2019,1350000,28,1926,1944,75,4254.5
988,PRINCE ALBERT STREET,8/20/2019,1580000,3,2205,1992,27,3630.0
989,E 22ND AVENUE,8/6/2019,1144000,4,1953,1923,96,3300.0
990,E 57TH AVENUE,9/10/2019,1070000,4,1041,1941,78,3656.4
991,ELGIN STREET,5/22/2019,1285000,23,2028,1963,56,3300.0
992,DUNDAS STREET,2/10/2020,1410000,11,2347,1927,93,4026.0
993,E 22ND AVENUE,10/30/2019,1602000,7,2108,2007,12,3630.0
994,E 29TH AVENUE,7/30/2019,1060000,9,1700,1946,73,3333.0
995,E 22ND AVENUE,10/9/2019,2190476,30,3412,2019,0,4026.0
996,JOYCE STREET,10/30/2019,1358000,5,2071,1996,23,3300.0
997,E 52ND AVENUE,10/4/2019,1388000,14,1917,1996,23,3323.0
998,QUEBEC STREET,10/29/2019,1408000,7,2067,1913,106,1952.0
999,E 49TH AVENUE,11/4/2019,1577000,8,2160,2007,12,3597.0
1000,TYNE STREET,12/2/2019,1358000,8,2464,1971,48,4422.68
1001,AUSTREY AVENUE,8/17/2019,1725000,63,2894,2019,0,3300.0
1002,CLARENDON STREET,1/14/2020,1605000,29,2501,1970,50,4356.0
1003,TRAFALGAR STREET,3/30/2020,2430000,8,2911,1988,32,4139.85
1004,E 60TH AVENUE,5/19/2020,1197232,5,1754,1954,66,3382.0
1005,LANCASTER STREET,4/25/2019,1500000,64,2134,1959,60,5718.19
1006,E 37TH AVENUE,8/12/2019,1480000,106,2603,1979,40,4661.2
1007,E PENDER STREET,1/11/2020,1670000,123,4100,1908,112,4150.0
1008,W KING EDWARD AVENUE,4/23/2019,2150000,42,2109,1951,68,6093.0
1009,W 58TH AVENUE,3/4/2019,2600000,106,3380,1991,28,5600.0
1010,W 1ST AVENUE,9/5/2019,2100000,11,2942,1922,97,2599.0
1011,E 2ND AVENUE,9/16/2019,1280000,2,1586,1946,73,5020.0
1012,W 8TH AVENUE,5/27/2019,1890000,16,2757,1946,73,3465.0
1013,E 46TH AVENUE,8/20/2019,1470000,22,2500,1973,46,4026.0
1014,GRAVELEY STREET,8/26/2019,1235000,0,2392,1964,55,3846.0
1015,E 28TH AVENUE,9/3/2019,1586000,6,2309,1932,87,4777.5
1016,E 26TH AVENUE,7/24/2019,1260000,20,1808,1960,59,3696.0
1017,ADERA STREET,5/28/2019,2398000,129,2760,2001,18,4583.8
1018,DUNDAS STREET,9/3/2019,2000000,57,3448,2019,0,4026.0
1019,E 20TH AVENUE,6/25/2019,1106000,106,1485,1949,70,3620.0
1020,DUMFRIES STREET,11/25/2019,1558000,22,2091,1953,66,4989.2
1021,INVERNESS STREET,6/2/2019,960000,7,2142,1912,107,2697.0
1022,PRINCE ALBERT STREET,2/11/2020,1652000,24,2016,1952,68,5030.0
1023,LILLOOET STREET,9/30/2019,1230000,7,2240,1974,45,3552.25
1024,E 38TH AVENUE,4/15/2019,1185000,114,2223,1911,108,4026.0
1025,E 4TH AVENUE,7/16/2019,1500000,182,1695,1912,108,2590.0
1026,E 58TH AVENUE,11/6/2019,1060000,0,1650,1946,73,3692.7
1027,ONTARIO STREET,1/31/2020,1655000,28,2354,1929,91,3387.0
1028,W 42ND AVENUE,2/3/2020,2605000,8,2487,1991,29,4050.0
1029,W 19TH AVENUE,1/8/2019,2880000,203,3004,1939,80,5795.0
1030,W 23RD AVENUE,6/3/2019,3000000,15,2765,1931,88,4026.0
1031,TUPPER STREET,5/8/2019,2350000,147,3481,1929,90,5886.65
1032,NANAIMO STREET,4/1/2019,1100000,87,1250,1943,76,5910.0
1033,E 28TH AVENUE,10/21/2019,1600000,18,3188,1970,49,6176.0
1034,E 1ST AVENUE,4/23/2019,1185000,54,2308,1956,63,4483.0
1035,VICTORIA DRIVE,7/17/2019,1500000,30,2101,1941,78,7058.04
1036,W 11TH AVENUE,1/23/2020,2798000,10,2498,1925,95,4029.0
1037,E 18TH AVENUE,9/19/2019,1245000,45,1660,1942,77,4105.0
1038,WATERLOO STREET,7/22/2019,2456000,5,3303,1990,29,5517.0
1039,RUPERT STREET,8/6/2019,1220000,42,1857,1953,66,4573.0
1040,E 5TH AVENUE,4/29/2019,1400000,58,2092,1942,77,4026.0
1041,WAVERLEY AVENUE,6/4/2019,1350000,50,2732,1971,48,6093.0
1042,E 24TH AVENUE,2/26/2020,1950000,4,2152,1910,110,4057.0
1043,E 23RD AVENUE,6/11/2019,1314000,43,2650,1966,53,3960.0
1044,W 23RD AVENUE,9/11/2019,2175000,14,1636,1928,91,4026.0
1045,INVERNESS STREET,3/4/2019,1950000,145,2964,2012,7,4125.0
1046,MONS DRIVE,11/6/2019,1210000,1,1446,1948,71,4510.0
1047,E 49TH AVENUE,3/12/2020,1360000,47,2782,1972,48,4845.0
1048,WINDSOR STREET,12/10/2019,1380000,8,1876,1953,66,4026.0
1049,COLLINGWOOD STREET,2/28/2020,1850000,11,1932,1926,94,3630.0
1050,W 2ND AVENUE,8/30/2019,2450000,30,2409,1926,93,3960.0
1051,PARKER STREET,1/13/2020,1416000,0,1771,1947,73,4026.0
1052,HAIDA DRIVE,5/1/2019,1620000,96,3160,1980,39,6150.0
1053,CHARLES STREET,9/16/2019,1790000,40,3026,2011,8,4290.0
1054,W 20TH AVENUE,5/23/2019,1860000,63,2389,1939,80,4026.0
1055,KERR STREET,7/22/2019,1260000,74,2267,1945,74,4580.28
1056,DUNBAR STREET,1/2/2020,2321905,35,2355,2019,1,3034.79
1057,SW MARINE DRIVE,2/11/2020,2825000,7,6556,1962,58,11400.0
1058,W 28TH AVENUE,3/2/2020,2500000,0,2715,1969,51,4297.92
1059,E KENT AVENUE NORTH,10/29/2019,1440000,24,2177,1994,25,3578.93
1060,E KING EDWARD AVENUE,11/14/2019,1650000,3,2316,1905,114,4063.95
1061,W 21ST AVENUE,11/3/2019,2988221,0,2794,2002,17,4026.0
1062,E 20TH AVENUE,12/18/2019,1084600,23,867,1910,110,3023.0
1063,E 61ST AVENUE,8/19/2019,1250000,14,2361,1993,26,3630.0
1064,E 21ST AVENUE,11/25/2019,1450000,7,2285,1986,33,3637.0
1065,E 58TH AVENUE,7/31/2019,1905000,103,2630,2017,2,3762.0
1066,E 48TH AVENUE,10/11/2019,2036190,50,3369,2019,0,3864.0
1067,E 23RD AVENUE,7/18/2019,1488000,12,2200,2001,18,3960.0
1068,HOLLAND STREET,9/9/2019,2800000,55,2816,1936,83,8877.0
1069,E 7TH AVENUE,7/12/2019,1080000,4,1712,1942,77,4026.0
1070,E 7TH AVENUE,7/29/2019,1354000,51,2352,1961,58,4026.0
1071,E 53RD AVENUE,4/1/2019,1210000,89,1646,1957,62,3385.0
1072,FRASER STREET,3/19/2020,1230000,53,2358,1906,114,3040.0
1073,GRAVELEY STREET,6/18/2019,1100000,6,922,1926,93,3902.75
1074,CHESTER STREET,4/8/2019,2115000,82,3515,2016,3,4026.0
1075,PRINCE ALBERT STREET,7/4/2019,1665000,76,2205,2006,13,4026.0
1076,DUNDAS STREET,10/16/2019,1550000,9,2686,1910,109,5856.0
1077,E 54TH AVENUE,6/24/2019,1250000,13,2632,1973,46,4032.0
1078,E 60TH AVENUE,3/12/2020,1482000,8,1940,1952,68,6180.0
1079,W 38TH AVENUE,5/25/2020,2880000,7,2959,1925,95,5475.0
1080,E 16TH AVENUE,9/9/2019,1385000,6,2279,1963,56,3996.66
1081,E 24TH AVENUE,9/16/2019,1225000,8,1670,1913,106,2161.5
1082,W 20TH AVENUE,5/10/2019,2050000,143,2046,1927,92,4570.5
1083,FRASER STREET,5/1/2019,840000,53,906,1913,106,3399.0
1084,W 14TH AVENUE,4/17/2020,2802000,3,3603,1911,109,5734.0
1085,W 14TH AVENUE,3/25/2019,2900000,191,2407,1999,20,4026.0
1086,COMMERCIAL STREET,3/12/2020,1085000,8,2028,1908,112,4081.94
1087,E PENDER STREET,2/24/2020,1570000,9,2599,1976,44,4026.0
1088,E 56TH AVENUE,4/28/2020,2468000,6,2586,2020,0,3630.0
1089,E 8TH AVENUE,8/19/2019,1325000,7,2036,1993,26,3115.0
1090,E 15TH AVENUE,6/18/2019,1265000,257,1660,1955,65,4023.0
1091,E GEORGIA STREET,5/22/2019,1180000,168,1780,1946,74,3481.5
1092,DUNDAS STREET,4/23/2019,1300000,49,2450,1925,94,5856.0
1093,W 45TH AVENUE,8/8/2019,2575000,287,2400,1948,72,6838.1
1094,ST. CATHERINES STREET,1/10/2020,1155000,4,1585,1953,67,3300.0
1095,W 39TH AVENUE,11/20/2019,2273000,11,2191,2013,6,2537.5
1096,MAPLE STREET,9/18/2019,2700000,8,2645,1922,97,7789.6
1097,HAWKS AVENUE,10/15/2019,1265000,47,2394,1905,114,2684.0
1098,E 32ND AVENUE,2/11/2019,1925000,314,2253,2017,3,3295.0
1099,W 5TH AVENUE,5/24/2019,1715000,11,2679,1930,89,4092.0
1100,MCGILL STREET,8/21/2019,1125000,54,1520,1928,91,4081.0
1101,ST. GEORGE STREET,11/27/2019,1498000,17,2313,1975,44,4026.0
1102,W 41ST AVENUE,9/9/2019,1850000,3,2651,1925,94,4455.0
1103,E 3RD AVENUE,1/16/2020,1350000,20,2444,1965,55,4154.0
1104,E 5TH AVENUE,6/3/2019,1555000,7,2251,1912,107,2500.0
1105,E 48TH AVENUE,10/7/2019,2080714,27,2774,2019,0,3864.0
1106,WEBBER AVENUE,9/16/2019,1550000,10,1985,1910,109,2432.1
1107,NANAIMO STREET,5/21/2019,1360000,41,1682,2003,16,2940.0
1108,KEEFER STREET,1/3/2020,1189000,47,3189,1910,110,3050.0
1109,W KING EDWARD AVENUE,4/4/2020,2050000,19,3050,1973,47,4199.9
1110,1984 E 12TH AVENUE,2/6/2020,1375000,5,2168,1913,107,4026.0
1111,MAIN STREET,6/20/2019,1375000,15,3600,1953,66,5860.99
1112,W 16TH AVENUE,1/21/2019,2965000,180,2850,2018,1,4026.0
1113,W 46TH AVENUE,2/3/2020,2988000,42,3900,1986,34,7200.0
1114,CORNISH STREET,6/18/2019,2100000,1,3000,1994,25,5121.6
1115,E 60 AVENUE,2/7/2020,1250000,4,1822,1960,60,3861.0
1116,GOTHARD STREET,7/23/2019,1472000,7,2210,2001,18,4176.0
1117,E 7TH AVENUE,9/9/2019,2300000,9,3644,1992,27,6039.0
1118,TRAFALGAR STREET,2/17/2020,2890000,0,3249,1940,80,7420.0
1119,W 48TH AVENUE,4/8/2019,2700000,76,3495,1942,77,7270.0
1120,W 23RD AVENUE,2/4/2020,2570000,67,2779,1955,65,4026.0
1121,E 24TH AVENUE,11/12/2019,1650000,7,1860,1910,109,2416.35
1122,FRENCH STREET,6/11/2019,1680000,78,1618,1949,70,4327.73
1123,W 33 AVENUE,10/21/2019,2680000,2,3374,1937,82,7308.0
1124,ST. CATHERINES STREET,6/20/2019,1147000,2,1539,1946,73,3234.0
1125,E 27TH AVENUE,3/5/2020,1632000,1,2780,1994,26,3960.0
1126,E 49TH AVENUE,5/27/2019,1500000,133,2606,1967,52,6190.0
1127,E 28TH AVENUE,3/16/2020,1450000,0,1900,1957,63,4204.2
1128,W 15TH AVENUE,7/23/2019,2600000,25,2096,1941,78,6250.0
1129,E 57TH AVENUE,7/8/2019,1500000,29,2012,2012,7,3597.0
1130,E 29TH AVENUE,9/3/2019,1038000,65,1684,1979,40,2866.19
1131,E 61ST AVENUE,6/7/2019,1250000,114,1518,1944,75,3811.5
1132,RUPERT STREET,2/26/2020,1907619,15,3400,2020,0,3960.0
1133,KITCHENER STREET,9/24/2019,1470000,29,2538,1910,109,4026.0
1134,W 24TH AVENUE,4/8/2019,2200000,149,2293,1941,78,5008.15
1135,E 22ND AVENUE,8/29/2019,1188800,5,1344,1948,71,4469.0
1136,MCBAIN AVENUE,10/7/2019,2805000,18,2017,1955,64,6255.0
1137,W 8TH AVENUE,3/16/2019,2200000,119,2253,1987,32,3795.0
1138,NAPIER STREET,4/6/2020,1210000,1,2335,1942,78,3564.0
1139,OSLER STREET,7/10/2019,2488888,8,1872,1924,95,6000.0
1140,PRINCE EDWARD STREET,10/28/2019,1711000,8,2079,1910,109,2665.0
1141,LANARK STREET,9/20/2019,1450000,11,2272,1952,67,5001.66
1142,E 17TH AVENUE,6/24/2019,1630000,8,2501,1913,106,4026.0
1143,W 24TH AVENUE,10/15/2019,2250000,20,1786,1927,92,4310.13
1144,CHARLES STREET,1/13/2020,1432000,27,2098,1940,80,3802.78
1145,E 15TH AVENUE,2/13/2020,1408000,1,1927,1960,60,4045.0
1146,E 7TH AVENUE,2/29/2020,2190000,11,2631,1911,109,3132.0
1147,W KING EDWARD AVENUE,9/6/2019,2788000,43,3811,1990,29,6092.0
1148,SALSBURY DRIVE,8/27/2019,1310000,33,2364,2010,9,1762.0
1149,FAIRMONT STREET,7/29/2019,1140000,50,1981,1963,56,3283.0
1150,18TH AVENUE,8/29/2019,1500000,44,2794,1966,53,5458.0
1151,W 62ND AVENUE,3/20/2020,1555000,3,2161,1914,106,3998.61
1152,E 53RD AVENUE,1/8/2020,1780000,3,2572,1959,61,6014.0
1153,E 18TH AVENUE,6/29/2019,1388000,78,1826,2007,12,2494.0
1154,S KASLO STREET,2/3/2020,1680100,6,2938,1971,49,5856.0
1155,CASSIAR STREET,5/21/2019,1275000,17,1900,1994,25,3609.05
1156,W 33RD AVENUE,9/20/2019,2450000,81,3059,1930,89,7810.0
1157,E 2ND AVENUE,6/24/2019,1160000,10,2242,1927,92,4026.0
1158,E 28TH AVENUE,2/10/2020,1360000,6,1468,1942,78,4204.2
1159,CHEYENNE AVENUE,3/16/2020,1200000,7,2540,1968,52,4143.75
1160,W 69TH AVENUE,2/4/2020,2250000,31,2429,1953,67,6000.0
1161,E BROADWAY STREET,2/13/2020,1588000,5,1900,1948,72,4026.0
1162,W 43RD AVENUE,7/23/2019,2430000,55,2974,1975,44,4455.0
1163,E 22ND AVENUE,6/19/2019,1225000,84,1706,1909,110,3295.0
1164,OLIVER CRESCENT,6/13/2019,2800000,27,2282,1951,68,6220.47
1165,E 28TH AVENUE,6/10/2019,1320000,12,2440,1977,42,3960.0
1166,E 49TH AVENUE,12/9/2019,1238000,3,1665,1949,71,4106.36
1167,W 64TH AVENUE,12/21/2019,2900000,22,3215,2006,14,5346.86
1168,PRINCE ALBERT STREET,1/7/2020,1285000,1,2300,1958,62,3979.46
1169,CHARLES STREET,9/24/2019,1327000,11,1263,2017,2,1696.0
1170,MCGILL STREET,5/23/2019,1555000,50,2904,1928,91,6029.56
1171,E 28TH AVENUE,8/5/2019,2660000,22,4809,2016,3,6039.0
1172,EARLES STREET,7/10/2019,1065000,14,2400,1947,72,4007.52
1173,E 6TH AVENUE,9/3/2019,1638000,6,3586,1982,37,6039.0
1174,W 57TH AVENUE,5/2/2019,2050000,61,3298,1931,88,5600.0
1175,SE MARINE DRIVE,11/14/2019,935000,7,2010,1958,61,3201.0
1176,151/153 W 18TH AVENUE,10/25/2019,2250000,6,2611,1924,95,4537.5
1177,E PENDER STREET,7/17/2019,1900000,78,4419,2015,4,5115.0
1178,PRINCE EDWARD STREET,6/27/2019,1265000,0,1500,1957,62,3577.5
1179,W 31 AVENUE,3/16/2020,2240000,7,2530,1975,45,4318.0
1180,KEEFER STREET,8/27/2019,2100000,6,2727,1910,109,3050.0
1181,NANAIMO STREET,3/27/2020,1480000,3,2462,1964,56,4225.0
1182,W 41ST AVENUE,6/18/2019,2080000,15,2584,1947,72,7405.0
1183,W 49TH AVENUE,7/18/2019,2483810,4,2624,2018,1,3748.8
1184,E 60TH AVENUE,11/12/2019,1372000,60,2271,1982,38,3892.0
1185,MCKINNON STREET,1/23/2019,2825000,203,4625,2017,2,5500.0
1186,KERR STREET,3/2/2020,1252000,4,2553,1941,79,4121.7
1187,BERKELEY STREET,12/9/2019,1715000,27,2610,1994,26,4356.0
1188,WELLINGTON AVENUE,10/8/2019,1400000,22,2497,1970,49,5155.72
1189,E 44TH AVENUE,8/7/2019,1290000,62,1841,1944,75,3894.4
1190,W 23RD AVENUE,3/17/2020,2470000,6,2597,1911,109,4900.0
1191,WILTSHIRE STREET,11/1/2019,2700000,114,3841,1928,92,8775.0
1192,FLEMING STREET,1/20/2020,1030000,8,1600,1910,110,2722.5
1193,PRINCE EDWARD STREET,3/9/2020,950000,26,1601,1912,108,2382.36
1194,E 7TH AVENUE,1/20/2020,1660000,1,2322,1905,115,4026.0
1195,W 24TH AVENUE,4/29/2020,2315000,13,2235,1978,42,4026.0
1196,JASPER CRESCENT,1/27/2020,1869000,77,3578,1992,28,6348.0
1197,SHERBROOKE STREET,7/11/2019,1190000,3,945,1946,73,3234.0
1198,CHARLES STREET,9/4/2019,2048000,27,2066,2019,0,2732.8
1199,DUMFRIES STREET,9/12/2019,1885000,100,2857,2012,8,4049.0
1200,E 62ND AVENUE,5/26/2020,1601000,3,2119,1973,47,7000.0
1201,E 52ND AVENUE,11/1/2019,1844000,21,2728,2019,0,3978.0
1202,CASSIAR STREET,8/21/2019,1230000,28,2458,1966,53,4131.58
1203,WINDSOR STREET,1/22/2020,1500000,5,2136,1970,50,3300.0
1204,INVERNESS STREET,4/27/2020,1425000,25,1838,1910,110,3382.0
1205,W 27TH AVENUE,7/5/2019,3000000,38,2489,1945,74,7063.0
1206,FLEMING STREET,6/13/2019,1550000,105,2400,1993,26,4102.0
1207,NOOTKA STREET,10/24/2019,1430000,56,1791,1958,62,3435.3
1208,W 24TH AVENUE,8/20/2018,1900000,303,2287,1993,26,4029.3
1209,SEAFORTH DRIVE,8/20/2019,1230000,61,1570,1948,71,6088.62
1210,CLARENDON STREET,4/16/2019,1450000,112,2484,1964,55,4889.0
1211,WELWYN STREET,9/5/2019,1450000,56,2398,1927,92,3146.0
1212,W 6TH AVENUE,3/2/2020,2255000,55,2366,1927,93,3630.0
1213,CAMBRIDGE STREET,2/4/2019,1400000,207,2575,1909,110,4021.0
1214,E 52ND AVENUE,1/3/2020,1715000,44,3000,1979,41,4880.0
1215,PERRY STREET,7/5/2019,1145000,50,2310,1965,54,3861.0
1216,E 41ST AVENUE,6/14/2019,1313000,18,2230,1961,58,3795.0
1217,GRAVELEY STREET,9/16/2019,1188000,3,1980,1940,79,4254.5
1218,E 23RD AVENUE,12/30/2019,2100000,7,3450,2019,1,3960.0
1219,ATHLONE STREET,7/12/2019,2700000,4,3300,1927,92,8700.0
1220,W 22ND AVENUE,7/8/2019,2900000,6,2823,2003,16,4026.0
1221,E 27TH AVENUE,11/5/2019,1360000,6,1518,1945,74,4752.0
1222,E 50TH AVENUE,9/3/2019,1519000,9,2395,1912,107,4356.0
1223,GRANDVIEW HIGHWAY,6/19/2019,1110000,6,2523,1937,82,4866.8
1224,E 7TH AVENUE,10/3/2019,1510000,0,1894,1923,96,4191.0
1225,E 40TH AVENUE,3/29/2019,1880000,204,3151,2003,16,5605.6
1226,E 64TH AVENUE,12/2/2019,1433000,3,2577,1992,27,3960.0
1227,ROSEDALE DRIVE,2/12/2020,1716250,22,2797,1968,52,6960.0
1228,E 53RD AVENUE,11/14/2018,1830000,370,2336,1996,23,3897.0
1229,PUGET DRIVE,10/8/2019,3000000,8,2997,2016,3,3513.34
1230,E 58TH AVENUE,7/19/2019,2600000,48,3744,2015,4,5117.5
1231,W 12TH AVENUE,10/24/2019,2800000,7,2444,1995,24,4026.0
1232,E 59TH AVENUE,4/8/2020,2400000,31,3720,2019,1,4242.6
1233,E 24TH AVENUE,1/27/2020,1555000,7,2442,1924,96,3414.0
1234,W 46TH AVENUE,10/1/2019,2950000,121,2814,2016,4,3919.0
1235,DUNBAR STREET,3/11/2019,2761905,85,3082,2019,0,3630.0
1236,W 24TH AVENUE,6/10/2019,2850000,21,2594,2009,10,4323.0
1237,E 29TH AVENUE,8/12/2019,1240200,20,2525,1973,46,3544.0
1238,W 52ND AVENUE,2/27/2020,2500000,5,4370,1959,61,6957.0
1239,E 5TH AVENUE,6/4/2019,1235000,6,1774,1927,92,4154.0
1240,TODERICK STREET,6/19/2019,1988000,5,3745,1972,47,11351.0
1241,FRENCH STREET,12/29/2018,2715000,264,2971,2011,8,4111.0
1242,PANDORA STREET,11/29/2019,1475000,9,2849,1941,78,4026.0
1243,WATERLOO STREET,3/18/2020,1900000,50,2252,1927,93,3960.0
1244,GOTHARD STREET,7/1/2019,1085000,95,1673,1926,93,3630.0
1245,STAMFORD STREET,5/1/2019,1190000,209,1459,1959,60,4818.0
1246,W 20TH AVENUE,7/24/2019,2848000,20,2475,1991,28,4026.0
1247,LINCOLN STREET,3/25/2019,1438000,162,3172,1929,90,6276.0
1248,E 54TH AVENUE,2/19/2020,1950000,65,3850,1981,39,8745.0
1249,W 11TH AVENUE,2/19/2020,2300000,8,2270,1932,88,4019.4
1250,BATTISON STREET,7/16/2019,1588000,13,2628,1970,49,6534.0
1251,E 2ND AVENUE,4/20/2020,1450000,7,2106,1926,94,4026.0
1252,BALSAM STREET,5/21/2019,1746000,30,2214,1922,97,3450.0
1253,LAKEWOOD DRIVE,5/10/2019,1150000,55,1950,1928,91,3416.0
1254,SHERBROOKE STREET,2/20/2020,1470000,6,2304,1984,36,4026.0
1255,W 61ST AVENUE,10/28/2019,1750000,6,2589,1977,42,4286.7
1256,E 14TH AVENUE,11/25/2019,1985000,14,2651,1927,92,6350.0
1257,E 28 AVENUE,6/14/2019,1070000,34,1730,1932,87,3729.0
1258,ROSS STREET,7/8/2019,953000,35,1572,1946,73,3234.0
1259,CHURCH STREET,7/10/2019,960000,56,1700,1930,89,4026.0
1260,E 21ST AVENUE,9/26/2019,1250000,2,2250,1993,26,4026.0
1261,PRINCE EDWARD STREET,3/16/2020,1960000,7,2017,1993,27,3577.5
1262,BATTISON STREET,3/22/2019,1030000,131,1700,1930,89,4356.0
1263,W 17TH AVENUE,5/21/2019,1820000,55,2392,1927,92,4023.36
1264,ELLIOTT STREET,10/28/2019,1386000,2,2020,1962,57,5567.07
1265,E 61ST AVENUE,2/27/2020,1350000,26,2432,1957,63,3795.0
1266,E 51ST AVENUE,9/3/2019,1275000,2,1786,1946,73,4026.0
1267,VICTORIA DRIVE,3/16/2020,1599000,5,2503,1912,108,4026.0
1268,E 28TH AVENUE,1/10/2020,1268000,2,1790,1957,63,3762.0
1269,E 5TH AVENUE,7/2/2019,1300000,4,2578,1967,52,4154.0
1270,TRINITY STREET,7/8/2019,2285714,33,3327,2019,0,4088.0
1271,E 54TH AVENUE,7/15/2019,1165000,24,1836,1955,64,3894.0
1272,DUNDAS STREET,7/1/2019,1200000,10,1977,1949,70,4057.0
1273,W 22ND AVENUE,3/21/2020,2450000,20,2754,1930,90,4026.0
1274,W 27TH AVENUE,3/3/2020,2350000,1,2578,1926,94,6443.42
1275,E 1ST AVENUE,2/3/2019,2125000,321,2621,1904,116,6214.72
1276,E 27 AVENUE,4/23/2019,1258000,56,1845,1955,64,4752.0
1277,W 50TH AVENUE,11/1/2019,2135000,125,1980,1948,72,7809.0
1278,E 31ST AVENUE,3/18/2020,1903000,5,2562,2005,15,3150.0
1279,ONTARIO STREET,7/24/2019,1928000,6,2017,1977,42,2643.0
1280,INVERNESS STREET,3/19/2019,1540000,78,2262,2000,19,4343.0
1281,NAPIER STREET,11/4/2019,1210000,122,1710,1944,76,3564.0
1282,E 4TH AVENUE,7/15/2019,1590000,8,1953,1928,91,4026.0
1283,ANZIO DRIVE,7/2/2019,1820000,6,3979,1989,30,6600.0
1284,W 11TH AVENUE,3/2/2020,2585000,7,2558,1932,88,4026.0
1285,W 14TH AVENUE,3/9/2020,2780000,8,2447,1994,26,4026.0
1286,KERR STREET,9/16/2019,1518000,14,2454,1966,53,5404.0
1287,CYPRESS STREET,5/30/2019,3000000,6,4040,1928,91,8580.0
1288,W 6TH AVENUE,5/29/2019,2135000,26,2985,1920,99,3630.0
1289,LANARK STREET,10/23/2019,1361400,5,2630,1982,37,4049.0
1290,MANOR STREET,3/16/2019,880000,257,1747,1911,108,3267.0
1291,E 61ST AVENUE,8/21/2019,1029000,38,1700,1953,66,3465.0
